,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id
0,470,463,41,f,Entire home/apt,2,3,0,364,Singapore River,Central Region,32295511
1,129,94,0,t,Private room,1,3,266,55,Novena,Central Region,5493930
2,50,45,0,f,Shared room,1,2,11,356,Queenstown,Central Region,1277919
3,54,45,100,f,Shared room,1,1,9,329,Rochor,Central Region,28998161
4,883,325,100,t,Entire home/apt,2,2,6,365,Orchard,Central Region,22990457
5,189,190,84,t,Entire home/apt,1,1,0,337,Novena,Central Region,53465478
6,800,71,0,f,Private room,1,1,0,0,Jurong West,West Region,12055849
7,29,34,33,f,Shared room,1,1,92,328,Kallang,Central Region,12345284
8,168,98,0,t,Private room,1,1,3,358,Marine Parade,Central Region,13643303
9,60,62,75,f,Private room,1,1,86,220,Kallang,Central Region,21358634
10,272,111,0,f,Private room,1,1,0,0,Bedok,East Region,823571
11,950,522,41,f,Entire home/apt,3,4,1,362,Singapore River,Central Region,53408171
12,80,73,100,f,Private room,1,1,0,365,Woodlands,North Region,29320724
13,143,190,24,f,Entire home/apt,1,2,0,356,Novena,Central Region,45537342
14,430,190,80,f,Private room,0,1,0,83,Downtown Core,Central Region,53665700
15,155,163,99,t,Private room,0,1,23,365,Downtown Core,Central Region,47912877
16,235,121,91,f,Hotel room,1,2,12,117,Outram,Central Region,34073545
17,49,56,81,f,Private room,1,1,1,328,Kallang,Central Region,15348725
18,204,311,65,f,Entire home/apt,3,3,8,0,Bukit Merah,Central Region,32317824
19,70,77,84,f,Entire home/apt,1,1,147,59,Geylang,Central Region,6099703
20,60,111,0,f,Private room,1,0,0,90,Bedok,East Region,43249498
21,190,476,30,f,Entire home/apt,2,2,0,364,Rochor,Central Region,43194004
22,250,194,41,f,Entire home/apt,2,2,0,364,Jurong East,West Region,43129509
23,450,310,41,f,Entire home/apt,2,3,0,364,Novena,Central Region,39212348
24,200,80,0,f,Private room,1,1,0,0,Geylang,Central Region,24114234
25,168,108,96,f,Private room,1,1,0,354,Rochor,Central Region,51005973
26,69,103,96,f,Private room,1,1,0,359,Outram,Central Region,30596340
27,30,43,65,f,Shared room,1,1,13,55,Rochor,Central Region,8355592
28,96,97,97,f,Hotel room,1,1,23,0,River Valley,Central Region,38421932
29,137,105,0,f,Private room,1,1,0,181,River Valley,Central Region,17037625
30,145,190,96,f,Private room,0,2,0,350,Downtown Core,Central Region,46384841
31,260,136,41,f,Entire home/apt,0,1,0,364,Marine Parade,Central Region,48191140
32,220,161,83,f,Entire home/apt,3,5,0,0,Bedok,East Region,40888220
33,380,308,80,f,Entire home/apt,2,3,0,363,Queenstown,Central Region,43461851
34,182,254,31,f,Entire home/apt,2,2,0,364,Downtown Core,Central Region,45107551
35,62,103,18,f,Private room,1,1,0,365,Downtown Core,Central Region,51254623
36,64,96,70,t,Entire home/apt,1,1,66,161,Geylang,Central Region,6120794
37,120,107,60,f,Private room,1,1,0,365,Novena,Central Region,53327628
38,430,344,57,f,Entire home/apt,3,6,0,362,Novena,Central Region,53509366
39,175,364,31,f,Entire home/apt,2,2,0,364,Orchard,Central Region,43502851
40,68,123,84,f,Entire home/apt,1,1,2,85,Geylang,Central Region,39692652
41,139,187,89,t,Entire home/apt,1,1,0,0,Downtown Core,Central Region,39063539
42,96,106,89,t,Entire home/apt,0,1,3,334,Kallang,Central Region,36855460
43,1000,301,65,f,Entire home/apt,3,4,1,365,Bukit Merah,Central Region,37257081
44,49,56,91,t,Private room,1,1,1,0,Kallang,Central Region,38035489
45,59,67,81,f,Private room,1,1,0,328,Kallang,Central Region,33086213
46,256,255,71,f,Entire home/apt,2,2,1,359,Bukit Merah,Central Region,40734196
47,43,103,65,f,Private room,1,2,5,199,Rochor,Central Region,25402824
48,154,182,25,f,Entire home/apt,1,4,2,348,Novena,Central Region,14701395
49,59,97,97,f,Private room,1,1,1,329,Outram,Central Region,38530815
50,695,518,30,f,Entire home/apt,3,4,0,364,Singapore River,Central Region,43006410
51,81,103,40,f,Private room,1,0,0,70,Choa Chu Kang,West Region,49081110
52,110,310,0,f,Entire home/apt,2,1,0,364,Novena,Central Region,15720684
53,99,187,67,f,Entire home/apt,1,2,5,246,Ang Mo Kio,North-East Region,7265781
54,210,281,31,f,Entire home/apt,2,2,0,364,Toa Payoh,Central Region,38684124
55,230,1130,0,f,Private room,0,1,0,358,Orchard,Central Region,53057294
56,69,97,91,t,Private room,1,1,2,357,Outram,Central Region,24636266
57,303,219,30,f,Entire home/apt,1,1,0,364,Queenstown,Central Region,42654230
58,85,67,41,f,Private room,1,1,0,364,Kallang,Central Region,45134515
59,151,187,89,t,Entire home/apt,1,1,0,0,Downtown Core,Central Region,43344197
60,59,72,0,f,Private room,1,1,15,69,Clementi,West Region,18109887
61,491,447,74,f,Entire home/apt,3,4,0,11,Outram,Central Region,52376322
62,31,123,100,f,Hotel room,1,1,7,0,Rochor,Central Region,33604552
63,1000,285,0,f,Entire home/apt,3,4,0,365,Bukit Merah,Central Region,37236875
64,121,103,71,f,Private room,1,1,0,137,Downtown Core,Central Region,41966894
65,220,310,30,f,Entire home/apt,2,2,0,364,Novena,Central Region,30596829
66,200,222,0,f,Entire home/apt,3,5,34,360,Bedok,East Region,8017511
67,50,102,100,f,Private room,1,1,2,272,Rochor,Central Region,35144181
68,148,145,84,t,Private room,0,1,0,361,Singapore River,Central Region,51947045
69,75,103,80,t,Private room,1,0,0,244,Downtown Core,Central Region,51223656
70,305,222,41,f,Entire home/apt,1,1,0,364,River Valley,Central Region,52786987
71,119,137,100,f,Private room,2,2,1,177,Bedok,East Region,21073678
72,7000,97,65,f,Private room,1,1,5,0,Outram,Central Region,11544732
73,47,66,0,f,Private room,1,2,10,239,Hougang,North-East Region,881683
74,49,74,96,f,Private room,1,1,3,362,Toa Payoh,Central Region,13157253
75,125,151,94,t,Entire home/apt,1,1,47,329,Kallang,Central Region,13038831
76,425,181,41,f,Entire home/apt,1,1,0,364,Kallang,Central Region,33085177
77,96,105,99,f,Private room,1,1,0,301,River Valley,Central Region,51259320
78,124,142,89,t,Entire home/apt,1,1,0,0,Jurong East,West Region,38588776
79,140,194,0,f,Private room,0,1,0,0,Central Water Catchment,North Region,29148255
80,22,56,13,f,Hotel room,1,10,22,316,Kallang,Central Region,28794509
81,1150,555,41,f,Entire home/apt,3,4,0,363,Orchard,Central Region,48141431
82,59,80,96,f,Private room,1,1,0,328,Geylang,Central Region,31840078
83,43,61,84,t,Private room,1,2,89,144,Geylang,Central Region,24571017
84,162,131,84,t,Private room,0,1,0,350,Rochor,Central Region,52357956
85,457,321,91,t,Entire home/apt,3,3,57,151,Kallang,Central Region,33111884
86,120,96,0,f,Private room,1,1,0,0,Tampines,East Region,30299178
87,180,125,0,f,Private room,0,1,0,365,Bedok,East Region,22330294
88,235,182,30,f,Entire home/apt,0,1,0,346,Novena,Central Region,52910692
89,80,80,0,f,Private room,1,2,0,0,Geylang,Central Region,47893862
90,130,96,84,t,Private room,1,1,1,347,Bedok,East Region,8111607
91,120,187,0,f,Entire home/apt,1,1,0,365,Downtown Core,Central Region,8180339
92,106,171,65,t,Entire home/apt,1,1,5,178,Kallang,Central Region,4441346
93,43,62,73,t,Private room,1,1,48,314,Geylang,Central Region,25130085
94,37,80,91,t,Private room,1,1,0,329,Geylang,Central Region,7105265
95,211,157,25,f,Entire home/apt,0,1,10,365,Downtown Core,Central Region,8705956
96,770,185,6,f,Entire home/apt,1,1,1,336,Rochor,Central Region,29548114
97,109,76,94,t,Entire home/apt,1,2,91,178,Geylang,Central Region,1302185
98,238,187,0,f,Entire home/apt,1,1,0,365,Downtown Core,Central Region,11898518
99,24,34,38,f,Shared room,1,16,89,1,Kallang,Central Region,16177101
100,78,98,100,f,Private room,1,1,14,365,Outram,Central Region,34186257
101,144,64,0,f,Private room,1,6,3,0,Kallang,Central Region,21182751
