id,new_host_acceptance_rate,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,bedrooms,beds,number_of_reviews,availability_365,price
50646.0,65.0,f,Bukit Timah,Central Region,1.33432,103.78521,Private room,1.0,1.0,18.0,365.0,80.0
71609.0,65.0,f,Tampines,East Region,1.34537,103.95887,Private room,2.0,3.0,20.0,365.0,179.0
71896.0,65.0,f,Tampines,East Region,1.34754,103.95958,Private room,1.0,1.0,24.0,365.0,82.0
71903.0,65.0,f,Tampines,East Region,1.34531,103.961,Private room,1.0,2.0,47.0,365.0,82.0
275343.0,77.0,f,Bukit Merah,Central Region,1.29015,103.80814,Private room,1.0,1.0,20.0,341.0,52.0
275344.0,77.0,f,Bukit Merah,Central Region,1.28836,103.81144,Private room,1.0,1.0,13.0,324.0,40.0
294281.0,0.0,f,Newton,Central Region,1.31142,103.83924,Private room,1.0,1.0,133.0,365.0,72.0
324945.0,77.0,f,Bukit Merah,Central Region,1.28828,103.8102,Private room,1.0,1.0,14.0,355.0,49.0
330089.0,77.0,f,Bukit Merah,Central Region,1.28652,103.81225,Private room,0.0,1.0,10.0,343.0,59.0
330095.0,77.0,f,Bukit Merah,Central Region,1.28636,103.81138,Private room,1.0,1.0,3.0,364.0,59.0
344803.0,65.0,f,Tampines,East Region,1.34917,103.9609,Private room,1.0,1.0,58.0,365.0,48.0
355955.0,0.0,f,Geylang,Central Region,1.31374,103.9019,Private room,1.0,1.0,0.0,174.0,65.0
369141.0,0.0,f,Newton,Central Region,1.31144,103.83784,Private room,1.0,1.0,81.0,359.0,69.0
369145.0,0.0,f,Newton,Central Region,1.31129,103.83788,Private room,1.0,1.0,165.0,330.0,66.0
395191.0,65.0,f,River Valley,Central Region,1.29335,103.83768,Private room,1.0,1.0,27.0,1.0,59.0
481789.0,0.0,f,Tampines,East Region,1.34816,103.93238,Private room,1.0,1.0,0.0,0.0,37.0
604966.0,65.0,f,Bukit Timah,Central Region,1.33242,103.79417,Entire home/apt,2.0,1.0,11.0,362.0,271.0
606784.0,65.0,f,Tampines,East Region,1.34361,103.95717,Private room,1.0,1.0,80.0,91.0,83.0
642660.0,0.0,f,Rochor,Central Region,1.30096,103.85206,Private room,1.0,1.0,0.0,365.0,163.0
696136.0,65.0,f,Bukit Timah,Central Region,1.30938,103.79812,Private room,1.0,1.0,28.0,90.0,100.0
733863.0,0.0,f,Serangoon,North-East Region,1.36926,103.87312,Private room,1.0,1.0,0.0,365.0,26.0
747813.0,70.0,f,Downtown Core,Central Region,1.27663,103.84498,Private room,1.0,1.0,72.0,358.0,119.0
747816.0,70.0,f,Downtown Core,Central Region,1.27585,103.84597,Private room,1.0,1.0,26.0,349.0,119.0
756267.0,65.0,t,Marine Parade,Central Region,1.30416,103.90076,Private room,1.0,1.0,70.0,0.0,250.0
765579.0,97.0,f,Outram,Central Region,1.2841,103.84253,Private room,1.0,1.0,2.0,359.0,69.0
815685.0,77.0,f,Bukit Merah,Central Region,1.29065,103.80941,Private room,1.0,1.0,14.0,215.0,40.0
819034.0,65.0,t,Marine Parade,Central Region,1.30492,103.90315,Entire home/apt,2.0,2.0,40.0,0.0,300.0
819044.0,65.0,t,Marine Parade,Central Region,1.30425,103.90097,Private room,1.0,1.0,71.0,0.0,150.0
823571.0,0.0,f,Bedok,East Region,1.31313,103.91479,Private room,1.0,1.0,0.0,0.0,272.0
833289.0,65.0,f,Bukit Merah,Central Region,1.27716,103.82299,Private room,1.0,2.0,2.0,178.0,150.0
881683.0,0.0,f,Hougang,North-East Region,1.36971,103.89938,Private room,1.0,2.0,10.0,239.0,47.0
982909.0,65.0,t,Novena,Central Region,1.33389,103.83454,Entire home/apt,1.0,1.0,247.0,144.0,120.0
1024986.0,67.0,t,River Valley,Central Region,1.29245,103.83742,Entire home/apt,1.0,1.0,255.0,332.0,200.0
1142414.0,97.0,f,Kallang,Central Region,1.31189,103.85901,Private room,1.0,1.0,2.0,328.0,59.0
1210268.0,100.0,t,Tanglin,Central Region,1.31633,103.827194,Entire home/apt,3.0,4.0,45.0,115.0,400.0
1229614.0,100.0,t,Tanglin,Central Region,1.31562,103.82807,Entire home/apt,1.0,1.0,39.0,108.0,290.0
