,Actual Price,Predicted Price,new_host_acceptance_rate,host_is_superhost,room_type,bedrooms,beds,number_of_reviews,availability_365,neighbourhood_cleansed,neighbourhood_group_cleansed,id,latitude,longitude
0,48.0,111.0,0.0,f,Private room,1.0,1.0,0.0,365.0,Marine Parade,Central Region,53910005.0,1.30276,103.90158
1,541.0,326.0,100.0,t,Entire home/apt,1.0,1.0,0.0,266.0,Downtown Core,Central Region,19535251.0,1.28143,103.85232
2,281.0,190.0,100.0,t,Entire home/apt,1.0,1.0,13.0,19.0,Singapore River,Central Region,20234954.0,1.28869,103.84426
3,228.0,182.0,60.0,f,Entire home/apt,1.0,1.0,1.0,347.0,Bukit Merah,Central Region,41077161.0,1.27209,103.83428
4,217.0,85.0,96.0,f,Private room,1.0,1.0,0.0,338.0,Rochor,Central Region,50986261.0,1.30609,103.85188
5,96.0,114.0,13.0,f,Hotel room,1.0,2.0,3.0,360.0,Bedok,East Region,23999596.0,1.30982,103.91233
6,190.0,164.0,96.0,t,Entire home/apt,1.0,1.0,18.0,51.0,Kallang,Central Region,22282038.0,1.29986,103.8851
7,143.0,151.0,96.0,t,Entire home/apt,1.0,2.0,105.0,299.0,Marine Parade,Central Region,30687199.0,1.30508,103.90527
8,33.0,74.0,65.0,f,Shared room,1.0,1.0,6.0,55.0,Rochor,Central Region,8343880.0,1.30362,103.84967
9,120.0,129.0,89.0,t,Entire home/apt,1.0,1.0,0.0,0.0,Kallang,Central Region,38912342.0,1.31246,103.85964
10,120.0,216.0,95.0,f,Entire home/apt,2.0,3.0,2.0,116.0,Novena,Central Region,45839899.0,1.32653,103.84858
11,46.0,57.0,80.0,f,Private room,1.0,1.0,2.0,364.0,Woodlands,North Region,39244281.0,1.44359,103.7943
12,183.0,327.0,61.0,f,Entire home/apt,2.0,2.0,0.0,338.0,Rochor,Central Region,52115953.0,1.30093,103.85153
13,129.0,146.0,91.0,f,Hotel room,1.0,1.0,5.0,121.0,Outram,Central Region,34071208.0,1.2836,103.84368
14,192.0,157.0,99.0,f,Private room,0.0,1.0,7.0,361.0,Rochor,Central Region,48033436.0,1.30469,103.85578
15,30.0,91.0,100.0,f,Private room,1.0,1.0,2.0,180.0,Pasir Ris,East Region,8583021.0,1.37938,103.96355
16,120.0,134.0,89.0,t,Entire home/apt,0.0,0.0,0.0,0.0,Toa Payoh,Central Region,46058403.0,1.33049,103.8677
17,126.0,156.0,100.0,f,Private room,0.0,1.0,0.0,363.0,Outram,Central Region,48019325.0,1.28267,103.84564
18,69.0,95.0,97.0,f,Private room,1.0,1.0,1.0,359.0,Outram,Central Region,33885738.0,1.2841,103.84253
19,152.0,103.0,91.0,f,Private room,1.0,1.0,0.0,121.0,Outram,Central Region,48613065.0,1.28303,103.84497
20,300.0,133.0,91.0,f,Private room,0.0,1.0,1.0,365.0,Hougang,North-East Region,43055185.0,1.36039,103.89105
21,39.0,54.0,97.0,f,Private room,1.0,1.0,1.0,329.0,Geylang,Central Region,26290123.0,1.31489,103.88158
22,34.0,35.0,65.0,f,Shared room,1.0,16.0,43.0,49.0,Kallang,Central Region,17672050.0,1.31157,103.86069
23,152.0,185.0,24.0,f,Entire home/apt,1.0,2.0,5.0,357.0,Novena,Central Region,43934034.0,1.32495,103.8562
24,100.0,90.0,84.0,t,Private room,1.0,1.0,12.0,311.0,Bedok,East Region,8114003.0,1.31855,103.91259
25,111.0,237.0,100.0,t,Entire home/apt,1.0,1.0,0.0,313.0,River Valley,Central Region,45963685.0,1.29557,103.83844
26,120.0,90.0,65.0,f,Private room,1.0,1.0,14.0,90.0,Serangoon,North-East Region,38308020.0,1.37418,103.8722
27,58.0,60.0,64.0,t,Private room,1.0,1.0,34.0,343.0,Jurong West,West Region,7321238.0,1.34265,103.71339
28,78.0,97.0,100.0,t,Private room,1.0,1.0,14.0,364.0,Museum,Central Region,10626378.0,1.29784,103.85038
29,200.0,110.0,88.0,t,Private room,1.0,2.0,1.0,55.0,Bedok,East Region,16149684.0,1.32362,103.9146
30,118.0,172.0,99.0,f,Entire home/apt,1.0,1.0,16.0,84.0,Kallang,Central Region,36808814.0,1.31878,103.85252
31,350.0,199.0,31.0,f,Entire home/apt,1.0,2.0,1.0,364.0,Downtown Core,Central Region,35185817.0,1.297,103.85554
32,179.0,179.0,89.0,t,Entire home/apt,2.0,2.0,1.0,0.0,Downtown Core,Central Region,40692679.0,1.27529,103.84388
33,268.0,298.0,7.0,f,Entire home/apt,3.0,5.0,0.0,365.0,Novena,Central Region,40571374.0,1.32866,103.84302
34,42.0,56.0,0.0,f,Private room,0.0,2.0,141.0,116.0,Bedok,East Region,16502098.0,1.31889,103.91243
